hotel_name,name,rating,review
RedDoorz Hostel @ DI Panjaitan Simpang Lima,Nur Yadi,1.0,"(Translated by Google) Order a room 3kmar 6 people for a tryata hotel 3kmar 3org..plgi the waiter even said it was complete to the application..what kind of solution is that, enter the room like a chicken coop..a little movement of people who snore want to TLP, all occupants of the room can be heard, there's no hot water, water for a very small bath...wz the PKK is really ugly,. (Original) Pesen kamar 3kmar 6orag mpe hotel tryata 3kmar 3org..plgi pelayanya malah bilang komplit ke aplikasinya aja..solusi kyk apa itu, masuk kamar kyk kandang ayam..gerak dikit org ngorok mau TLP sluruh penghuni kamar kedengeran, udah air panasnya gda, air buat mandi kecil banget..wz PKK nya juelek bangetttt,.😤👎👎👎"
RedDoorz Hostel @ DI Panjaitan Simpang Lima,kayete dolan dolan,3.0,"(Translated by Google) The service is not familiar... The bathroom is not clean, the price for breakfast is cheap.... Specially those who are in a hurry can stay here, if you are looking for something else first.. (Original) Pelayanan kurqng familier... Kamar mandi kurang bersih, di pembayaran ada harga makan pagi ternyata zonk.... Kusus yg kepepet aja bisa menginap disini, klo isa cari lain nya dulu aja.."
RedDoorz Hostel @ DI Panjaitan Simpang Lima,Salsabila P,3.0,"(Translated by Google) Sorry to say the air conditioner is not cold enough like the tbtb turns off by itself for the downstairs room, I don't know if the upper one, the service is okay, the friends are friendly, the mattress is also comfortable. but, the bathroom door is difficult to open the room door too hehe overall it's okay, please improve the quality again🙏 (Original) Sorry to say AC nya kurang dingin suka tbtb mati sendiri untuk kamar bawah gtau ya kl yg atas, pelayanan oke sih mas2nya ramah kasur nya juga nyaman. but, pintu kamar mandi susah dibuka pintu kamar juga hehe overall oke sih, mohon di tingkatkan lagi kualitasnya🙏"
RedDoorz Hostel @ DI Panjaitan Simpang Lima,Ahmad Wahyudin,1.0,(Translated by Google) The bathroom water doesn't come out so it's difficult to take a shower (Original) Kamar mandinya airnya ga keluar jadi sulit untuk mandi
RedDoorz Hostel @ DI Panjaitan Simpang Lima,rizmawlaa,1.0,"(Translated by Google) Not in accordance with the application, in the application 1 bed can be used for 2 guests, it turns out that it is only enough for 1 guest, and offline rental prices are much more expensive than the price via the application. (Original) Tidak sesuai dengan aplikasi, di aplikasi 1 bed bisa untuk 2 tamu, ternyata hanya cukup untuk 1 tamu, dan harga sewa offline jauh lebih mahal ketimbang harga via aplikasi."
RedDoorz Hostel @ DI Panjaitan Simpang Lima,Ega Fajar,3.0,"(Translated by Google) It's just ok, just waiting for the train is ok. If you want to spend the night, it's better to find another place (Original) It's just ok, untuk nunggu kereta saja jadi ok lha. Kalau untuk bermalam rasanya sebaiknya cari tempat lain"
RedDoorz Hostel @ DI Panjaitan Simpang Lima,ahmad zaelani,5.0,"(Translated by Google) Recommended resting place for travelers who are looking for cheap hostel prices around Simpang 5 Semarang. Strategic place, clean, good service, sufficient facilities. Bed capsule system so sharing 1 room there are several beds, but more than enough to just sleep for a while. There is liquid soap and shampoo in the bathroom, toothbrushes, toothpaste and new toothpaste and clean towels are also provided. Wifi and AC are available so it's very comfortable even if it's only on the bed (Original) Recomendasi tempat istirahat untuk pelancong yang cari harga hostel murah di sekitar simpang 5 semarang. Tempatnya strategis, bersih, pelayanan bagus, fasilitas cukup. Sistem Bed capsule jadi sharing 1 kamar ada beberapa ranjang, tapi lebih dari cukup untuk sekedar tidur sejenak. Tersedia sabun cair dan sampoo di kamar mandi, diberikan juga sikat gigi, pasta gigi dan odol baru serta handuk bersih. Tersedia Wifi dan AC jadi sangat nyaman walau cuma diatas kasur"
RedDoorz Hostel @ DI Panjaitan Simpang Lima,Sumarjono Bayu Krisnanto (S. Bayu Krisnanto),1.0,"(Translated by Google) Hopefully the application is fixed, It is clear that the application has 1 room for 2 guests, the fact is that there is only 1 and one has to be bought again, imagine that we traveled a distance of almost 3 hours and it turned out to be played like this. Marketing can be done, but don't be like that either. (Original) Semoga diperbaiki aplikasinya, Jelas² diaplikasi sdh tertera 1 kamar 2 tamu, eh faktanya hanya 1 dan yg satu hrs beli lagi, bayangkan kami jauh² menempuh jarak hampir 3 jam ternyata dimainkan kyk gini. Marketing blh tp jgn kyk gitu juga."
RedDoorz Hostel @ DI Panjaitan Simpang Lima,wahyudi tjb,3.0,"(Translated by Google) Pretty good, only the room is a capsule type 1 room, there are many rooms, only the water is not tight, only the parking lot is narrow if you bring 4 wheels (Original) Lumayan bagus cuma kamarnya los tipe capsule 1 ruangan ada byk kamar cuma airnya kurang kencang cuma tempat parkir sempit bila bawa Roda 4"
RedDoorz Hostel @ DI Panjaitan Simpang Lima,EmRee I'anah Farida,2.0,"(Translated by Google) There are only 2 bathrooms, small and smelly. The shower also seems to be rarely cleaned so it is moldy and the water doesn't come out smoothly. It is not explained that if you are separated between a girl or a cow, it will be uncomfortable to combine. (Original) Kamar mandinya hanya ada 2, kecil dan bau. Showernya jg sprtinya jarang dibersihkan sehingga berjamur dan airnya tdk lancar keluar. Tidak dijelaskan jg klo dipisah antara cew atau cow, digabung jd kurang nyaman."
RedDoorz Hostel @ DI Panjaitan Simpang Lima,Shean Nathanael,5.0,"(Translated by Google) Recommended low-budget lodging. Suitable for solo travelers who just want a place to rest. Strategic location, easy access and near minimarkets. The distance to Simpang Lima and Marina Beach is close. Plus: Fast wifi network, clean toilets, strategic location, comfortable capsules Minus: Sometimes the receptionist is not on standby, the capsule is not soundproof (Original) Penginapan low-budget yang recommended. Cocok untuk solo traveller hanya ingin tempat istirahat. Lokasi strategis, akses mudah dan dekat minimarket. Jarak menuju Simpang Lima dan Pantai Marina dekat. Plus: Jaringan wifi kencang, toilet bersih, lokasi strategis, kapsul nyaman Minus: Resepsionis kadang tidak standby, kapsul kurang kedap suara"
RedDoorz Hostel @ DI Panjaitan Simpang Lima,Kartika Puspita Sari,2.0,"(Translated by Google) The location is pretty close to the 5th intersection. The receptionist is busy alone. So the one who receives guests, takes care of check-in and takes them to the room is the security guard. I salute the security guard. The price is cheap, already got small towels for bathing and toiletries. A bottle of drinking water is also given. There is only 1 light, one power plug. Can park the car. The lobby is a bit stuffy, what's the smell? Blanket sheets but clean and fragrant. The bathroom is pretty clean. There is a kitchen, you can use cutlery as long as you wash it again. There are dispensers too. You can brew coffee or popmie if you want. No stove or microwave however. (Original) Lokasinya lumayan deket simpang 5. Resepsionisnya sibuk sendiri. Jadi yang menerima tamu, mengurus check in dan mengantar ke kamar adalah satpam. Salut saya sama satpamnya. Harganya murah, udah dapet handuk kecil untuk mandi dan toiletries. Dikasih air minum juga sebotol. Lampunya cuma 1, colokan listrik satu. Bisa parkir mobil. Lobbynya agak2 pengap bau apa gitu😅😅. Seprei selimut tapi bersih dan wangi. Kamar mandi lumayan bersih. Ada kitchennya boleh pakai alat makan asal dicuci lagi. Ada dispenser juga. Bisa seduh kopi atau popmie kalau mau. Ga ada kompor atau microwave tapinya."
RedDoorz Hostel @ DI Panjaitan Simpang Lima,Sang Fakir Pengemis Ilmu,4.0,"(Translated by Google) watch my full video review here on the channel ""SASTRA LUKYTO ADI NUGROHO"" . don't forget to ""subscribe"" like ""comments"" & share all your social media thank you (Original) tonton full video review saya disini di channel "" SASTRA LUKYTO ADI NUGROHO "" . jangan lupa "" subscribe "" like"" komment "" & share kesemua media sosial kalian terimakasih"
RedDoorz Hostel @ DI Panjaitan Simpang Lima,wawan blackjack,1.0,"(Translated by Google) What's comfortable? What's cold? Very very uncomfortable because the air conditioner is not cold, from the bottom of the stairs to the top there is a smell of sweat that is not clear from the sweat of the hotel employees or from whom, the hotel doesn't smell good ""at all IF YOU WANT TO STAY HERE, DO NOT BE LOCKED OUT BY REVIEWS ""THAT GOOD ... the review must be from the person closest to the hotel so that the RATING is UP, but in fact it is VERY TDK MYAMAN !!! (Original) Nyaman apaan ? Ac dingin apaan ? Sangat sangat tdk nyaman karna Ac tidak dingin, dri tangga bawah sampai atas tercium bau bau keringat yg ga jelas keringat dri karyawan hotel atau dri siapa, hotel ga ada wangi""nya sm sekali KALAU MAU MENGINAP DISINI JGN TERPANCING DGN ULASAN"" YG BAGUS ITU.. ulasan itu pasti dri org terdekat hotel tsb agar RATING NAIK, tapi kenyataannya SANGAT TDK MYAMAN !!!"
RedDoorz Hostel @ DI Panjaitan Simpang Lima,Maisi AR,4.0,"(Translated by Google) recommended for backpackers, a little less comfortable because it mixes both the room and the bathroom (Original) recommended untuk backpacker, sedikit kurang nyaman krn campur baik kamar maupun kamar mandi"
RedDoorz Hostel @ DI Panjaitan Simpang Lima,Agus Tri Wibowo,5.0,"(Translated by Google) Comfortable, quiet, cold air conditioner, fast wifi. When I got a cheap price because it was late at night. The bed is sturdy even though it's uncomfortable on the top but it doesn't make the bed mattress underneath or beside it. The location is close to Simpanglima, Semarang. Not far from Poncol Station or Tawang Station, Ojol is available 24 hours. Can park motorbikes and cars, motorbike security if guarded at night ma receptions and chained padlock. If the night is a bit far from the culinary center, minimarket. So you should be full first or bring your own ration before going to the hotel. Hot & cold water is available from the dispenser, I think there is a kitchen too for instant cooking. Electric plugs are standard and there are lights per bed. Also given toiletries, clean and fragrant towels. But there's no hot water, cm cold water for bathing #cmiiw Suitable for backpackers or just a short transit. Tips so you can get cheap prices at night using the application reddoorz if cm just for a night's rest. Enjoy 🙏🏻 (Original) Nyaman, tenang, AC dingin, wifi kenceng. Pas dapet harga murah karena masuk malam hari. Ranjang kokoh walaupun naek diatas tp gak bikin brisik kasur dibawah ato sampingnya. Lokasi dekat dengan simpanglima, semarang. Gak jauh juga dengan stasiun poncol ato stasiun tawang, ojol tersedia 24 jam. Bisa parkir motor dan mobil, keamanan motor kalo malam dijaga ma resepsionit dan dirantai gembok. Kalo malam agak jauh dr pusat kuliner, minimarket. Jd sebaiknya kenyang dulu atau bawa ransum sendiri sebelum ke hotel. Sedia air panas & dingin dr dispenser, kayaknya ada dapur juga kalo mo masak yg instan. Colokan listrik ada standar dan lampu ada per kasur. Dikasih alat mandi juga, handuk bersih dan wangi. Tp gak da air panasnya, cm air dingin kalo buat mandi #cmiiw Cocok buat backpacker ato sekedar transit sebentar. Tips biar dapet harga murah order malam hari pake aplikasi reddoorz kalo cm buat istirahat malam aja. Selamat menikmati 🙏🏻"
RedDoorz Hostel @ DI Panjaitan Simpang Lima,Toppoki Yc,1.0,"(Translated by Google) Ah yes right. The reception is messed up .. Not friendly then pretending to be right .. Kudu check in jem 2 .. People everywhere jem 12 are allowed to enter ... This is the reception desk instead of staying ... I was only told to wait in the room unclear during 2 jem .. Oh yeah that's not all ... On the web I chose a girl's room ... I know I joined a girl .. The reason is ""many guys"". Then I have to hear the snoring sound of males, guys ... Even the sound of people chatting in the basement just sounds .. Using the curtain feels private .. But if the lights turn on inside it looks like a tancep screen ... Already I review what it is ehhh orng angry. .. Very professional ~ very memorable .. Thanks ~ (Original) Ah iya bener. Resepsionisnya kacau.. Ga ramah trus sok bener.. Kudu cek in jem 2.. Orang2 di mana2 hotel jem 12 udah boleh masuk.... Ini meja resepsionis malah di tinggal... Saya cuma di suruh tunggu di ruangan ga jelas selama 2 jem.. Oh ya bukan itu aja sih.. Di web gue pilih kamar cewe ya.. Tau2 di gabung cewe cowo.. Alasan ""banyakan cowo"". Trus gue harus denger suara ngorok laki malem2 dong... Bahkan suara orng ngobrol di ruang bawah aja kedengeran.. Pake tirai berasa private.. Tp kalo lampu nyala dalemnya keliatan kaya layar tancep... Udah gue review apa adanya ehhh orngnya marah2... Profesional sekaliii~ sangat berkesan.. Thanks~"
RedDoorz Hostel @ DI Panjaitan Simpang Lima,Reni Wirawati,5.0,(Translated by Google) I have proven myself. Very homey living here. Feels like home. Very clean. The room and the toilet. Stay on a low budget around the five intersections here. Two tumbs UP. (Original) Saya sudah buktikan sendiri. Homy banget tinggal disini. Berasa rumah sendiri. Bersih banget. Kamar maupun toiletnya. Nginep low budget sekitar simpang lima ya disini. Two tumbs UP.
RedDoorz Hostel @ DI Panjaitan Simpang Lima,ShaKa,4.0,"(Translated by Google) Comfortable bed, according to the price. The room is neat and clean. Friendly service. The minus in the bathroom faucet is broken. (Original) Tempat tidur nyaman,sesuai dg harganya. Ruangan rapi dan bersih. Pelayanan ramah. Minus di kran kamar mandi rusak."
RedDoorz Hostel @ DI Panjaitan Simpang Lima,HERIYANTO,4.0,"(Translated by Google) The AC is good, the beds are clean, unfortunately the upper floors lack safety. Friendly officers, the sound of vehicles outside sounds noisy. (Original) AC mantab, tempat tidur bersih sayang yg lantai atas kurang safety. Petugas ramah, suara kendaraan diluar terdengar berisik."
RedDoorz Hostel @ DI Panjaitan Simpang Lima,royhaand purnomo,5.0,"(Translated by Google) Stay here 1 person 1 bed, 100k... Suitable for groups of many people (Original) Menginap di sini 1 orang 1 bed, 100k... Cocok untuk rombongan banyak orang"
RedDoorz Hostel @ DI Panjaitan Simpang Lima,Akisay poki,1.0,"(Translated by Google) There is no written check in, I have to take 2 hours... I'm already very sleepy and told to wait 2 hours to try.. The receptionist is also not friendly... Not clear. Just told to wait.. Dy said ""all red doors. Also check in jem 2"" in my heart, ""okay... I don't use red doors anymore (Original) Ga ad tulisan cek in kudu jem 2...udah ngantuk bgt di suruh tunggu 2 jem coba.. Resepsionis juga ga ramah... Ga jelas. Cuma disuruh tunggu.. Dy bilang ""semua red doors. Juga cek in jem 2"" dalem hati, ""oke... Gue ga pake Red doors lagi"
RedDoorz Hostel @ DI Panjaitan Simpang Lima,Dwi Setiyawan,5.0,(Translated by Google) very touched by the review @Kartikapuspitasari because what I know is that the receptionist is at 7 to 7 so Kartika Puspita Sari in my opinion is very rustic (Original) sangat terharu dengan adanya ulasan tersebut @Kartikapuspitasari karena yang saya tahu resepsionis itu jam 7-7 jadi kartika puspita sari menurut saya ndeso banget
RedDoorz Hostel @ DI Panjaitan Simpang Lima,Sandi Yugie,3.0,"(Translated by Google) Quite comfortable, safe, and clean. Only a small locker and less flexible receptionist. It is unfortunate in a good place, but the service was lacking. (Original) Cukup nyaman, aman, dan bersih. Hanya saja loker kecil dan resepsionisnya kurang fleksibel. Sangat disayangkan dengan tempat yang baik namun pelayanannya kurang."
RedDoorz Hostel @ DI Panjaitan Simpang Lima,febi lestari,3.0,"(Translated by Google) Capsule hotel, suitable for backpackers not family, near downtown Simpang 5, affordable prices (Original) Hotel kapsul, cocok buat backpacker not family, dekat pusat kota simpang 5, harga terjangkau"
RedDoorz Hostel @ DI Panjaitan Simpang Lima,wahyou,4.0,"(Translated by Google) A property suitable for transit, the rooms are comfortable, clean, very close to intersection 5 and tentrem mall (Original) Properti yang cocok untuk transit , kamarnya nyaman , bersih , dekat sekali dengan simpang 5 dan tentrem mall"
RedDoorz Hostel @ DI Panjaitan Simpang Lima,Ahmad Irfandi,5.0,👍
RedDoorz near Plaza Simpang Lima,Phil Smith,5.0,"Cheap, good location easy walk to the Square, good wifi. Only just been refurbished, so good I extended another week. For $9 a night hard to complain about lukewarm water. This property was a standout for exceptional value after spending 8 months in Indonesia in 2018. And even today still sets a high benchmark against all others when considering cleanliness, facilities and property condition, housekeeping & value for money + an enjoyable stay. Well done guys ! *Travel Tip, ask for a room on the lower floors, there are a lot of stairs to cover to reach the upper floors 👌👍👍👍👍👍👍👍"
RedDoorz near Plaza Simpang Lima,Riris August,4.0,Located near to simpang lima. The place is quite clean. No lift available. The parking space is very limited for 2 cars only.
RedDoorz near Plaza Simpang Lima,JustMe SONE,3.0,the room is big and cozy.. also its very clean. however the hotel location is hard to find. its located in between big buildings.. and right in the middle there is small road to the hotel
RedDoorz near Plaza Simpang Lima,Christopher Horn,3.0,"Reasonable price, agreeable location, but no windows in the room."
RedDoorz near Plaza Simpang Lima,Huda Mr.,4.0,"Good location, good room @ good price. But found small cockroach in the room"
RedDoorz near Plaza Simpang Lima,Victor Yosua Oktaputra,5.0,cheap place to have a good rest in Semarang
RedDoorz near Plaza Simpang Lima,freddi andrew,5.0,Good service and client
RedDoorz near Plaza Simpang Lima,Mahmud Atmaja,4.0,Good
RedDoorz near Plaza Simpang Lima,Ronny Surya,4.0,"(Translated by Google) Strategic location and good night view. Looking for easy food, leaving the hotel on foot, there are many food stalls lined up. The bedroom is clean👍, the analog TV is not clear, the air conditioner is cold mak nyuz👍, there is a sink but no hand washing soap. Minus: The bathroom drains water less smoothly (bloated), there are small animals in the drains. There are no containers/places to put toiletries such as: toothpaste/soap/shampoo. (Original) Lokasi yg strategis dan pemandangan malam hari bagus. Cari makan mudah, keluar hotel dengan berjalan kaki sudah banyak warung makan berjejeran. Kamar tidur sudah bersih👍, TV analog kurang jernih tv nya, AC sudah dingin mak nyuz👍, ada wastafel tetapi gak ada sabun cuci tangannya. Minusnya: Kamar mandi pembuangan air kurang lancar (ngembeng), ada binatang kecil di saluran air. Tidak ada WADAH/TEMPAT untuk naruh peralatan mandi seperti : pasta gigi/sabun/sampo. Rooms: Perhatikan lagi tuas pintu kamar, ditarik kok lepas. Area parkir kendaraan sempit, untuk mobil cuma bisa 2 unit, sedangkan untuk motor kalau besoknya mau keluar jadi susah keluar karena terhalang motor yg lain."
RedDoorz near Plaza Simpang Lima,Yunita Cuo,3.0,"(Translated by Google) Service is quite friendly. Unfortunately the cleanliness of the place is very lacking. The floor is sticky. The blankets and pillowcases smell like they haven't been washed. Fortunately, complaints were immediately responded to and replaced. Cot mattress full of dust. Just staying 1 night is still tolerable, but staying a few days feels like suffering. The plus value, amenities are still available. Wifi can still work even though it has to be outside the room. Shower worked well. Incidentally in our room, the bathroom was still pretty clean. (Original) Pelayanan cukup ramah. Sayangnya kebersihan tempatnya sangat kurang. Lantai nya lengket. Selimut dan sarung bantal bau seperti belum dicuci. Untungnya komplain segera ditanggapi dan diganti. Dipan kasur penuh dengan debu. Untuk sekedar tinggal 1 malam ya masih bisa ditolerir, tapi kalo untuk tinggal beberapa hari rasanya bakalan menderita. Nilai plusnya, amenities masih dapat. Wifi masih bisa meskipun harus di luar kamar. Shower bekerja dengan baik. Kebetulan di kamar kami, kamar mandi masih lumayan bersih."
RedDoorz near Plaza Simpang Lima,Brenda Aggun Winarso,3.0,"(Translated by Google) The place is easy to find close to hospitals, Transmart and Citraland Mall. The service is okay, it's just that there are minuses at some points such as the wifi doesn't reach the room and the signal is only 2 sometimes lost, the air conditioner is not cold at all even though the settings are maximum, hot water can't work properly, hotel towels are hollow and don't smell good, tissue is not provided in the hotel room, the bathroom was a little dirty and the roof had a hole in it so it seemed a horror if someone peeked from above there was only a towel hanger in it. TV channels are quite complete, there is a sink and a large enough trash can in the room. (Original) Tempat mudah di cari dekat dengan RS, Transmart dan Citraland Mall. Pelayanan oke, hanya saja minus di beberapa poin seperti wifi tidak sampai di kamar dan signal cuma 2 kadang ilang, AC gak dingin sama sekali padal pengaturan sudah maksimal, air panas gak bisa bekerja dengan baik, handuk hotel berlubang dan tidak wangi, tidak disediakan tisu di dalam kamar hotel, kamar mandinya sedikit kotor dan atapnya bolong jadi terkesan horor kalau ada yg ngintip dari atas hanya ada gantungan handuk saja di dalamnya. Channel tv cukup lengkap, tersedia wastafel dan tempat sampah cukup besar di dalan kamar."
RedDoorz near Plaza Simpang Lima,Hikmah nurseha,2.0,"(Translated by Google) The place is pretty clean, the air conditioner is cold, but the water heater is not running smoothly, the wifi is bad, not connected at all. Order via ag*da, there is only 1 empty room here, other hotels are full because of the Eid holiday, I suddenly plan to go on vacation to Semarang. Got a room with a broken door handle, making trouble. Get 1 large bed and there is no additional mattress, so those who bring children are not recommended. Booking 2 days, cancel 1 day. The next day, look for other lodging that can be used for children, no longer staying here. (Original) Tempatnya lumayan bersih, ac dingin, namun heater water nya gak lancar airnya, wifinya buruk gak terkoneksi sama sekali. Pesan lewat ag*da cuma ada 1 kamar kosong disini, hotel lain full krn libur lebaran, rencana mendadak mw liburan ke semarang. Dapat kamar yg rusak gagang pintunya, bikin repot. Dapat kasur besar 1 dan Gak ada kasur tambahan, jd yg bawa anak2 gak rekomend. Booking 2 hari, cancel 1 hari. Besoknya cari penginapan lain yg bisa buat anak2, Gak lagi deh nginep disini."
RedDoorz near Plaza Simpang Lima,0018 Camelia Agustin,5.0,"(Translated by Google) Worth it! Strategic location, city center near Simpang Lima. And around the hotel location, there are many food stalls / culinary specialties of Semarang that you must try, especially the prices are cheap. For hotel facilities, quite complete. Cold AC, KM / WC in, cold / hot water is available, wifi runs smoothly. 24 hour standby parking. (Original) Worth it! Lokasi strategis, pusat kota dekat simpang lima. Dan di sekitar lokasi hotel banyak warung makanan/kuliner khas semarang yang wajib dicoba, apalagi harga nya murah². Untuk fasilitas hotel, cukup lengkap. AC dingin, KM/WC dalam, Air dingin/air panas ada, wifi lancar jaya. Parkiran siaga 24jm."
RedDoorz near Plaza Simpang Lima,Cindy else,5.0,"(Translated by Google) Room quality is above average, and most impressive is the quality of service 👍🏼👍🏼 they are charming, helpful... Keep it up the best. About the food, just average. Regarding the environment, for me it is perfect. Not in a crowded place, more to enough and good for rest, wide open air with green trees, I like it. Not too far to town and easy to find food around. (Original) Kualitas kamar di atas rata-rata, dan yang paling mengesankan adalah kualitas layanan 👍🏼👍🏼 mereka menawan, membantu... Pertahankan yang terbaik. Tentang makanan, hanya rata-rata. Mengenai lingkungan, bagi saya itu sempurna. Tidak di tempat keramaian, lebih ke cukup dan bagus untuk istirahat, udara terbuka yang luas dengan pepohonan hijau, saya menyukainya. Tidak terlalu jauh untuk kota dan mudah untuk menemukan makanan di sekitar."
