restaurant_name,name,rating,review
McDonald's Pandanaran,jamielah al hakim,5.0,"Comfort place. Wide parking area both cars and motorcycles.But for drive thru, it's so crowded. Specially in traffic hours (doubled crowd). Better to dine in or pick up."
McDonald's Pandanaran,Nurudin Sidiq Mustofa,5.0,"What can you ask more? A good place with a cheap food and adequate selection. Who dont know Mcdonalds anyway, its fullfill all the standard that all Mcdonald should have. Btw try the new Mcflurry Chocopie combination, its a new menu!"
McDonald's Pandanaran,yohanes,5.0,Friendly personal. Thank you for your services. Hope u guys always be health and wealth.
McDonald's Pandanaran,Nature Lover,5.0,"Well... just like any other mcDs. But, because it is located in the center of the city and has 24 hour-drive thru service, its drive thru line is always long on weekends."
McDonald's Pandanaran,Steve Jo,5.0,"Nice place for hangouts with fast wifi. There are also charging station for working with some nice and comfy sofas. On this month (October — November 2021) there are also lots of promos you can grab with (LinkAja, Gopay, ShopeePay, Livin' Mandiri, etc). Recommended 👍🏻"
McDonald's Pandanaran,Agung “tongkito” Hadiyanto,5.0,"What else you can describe here, it's McDonalds our favourite fast food of all time. This place located near the traffic light and very limited parking space."
McDonald's Pandanaran,Mayliana Terutama,4.0,Although there is a PKM / PSBB we still need Mc. D to eat.. keep the spirit on.. Be friend with Covid 19.. got promo disc. With BCA Card too...
McDonald's Pandanaran,Robbi Akbari,4.0,They have aquarium with many gold fishes at the drive thru
McDonald's Pandanaran,Andi Herlambang,4.0,"Good as usual, but one of the sinks ran out of soap."
McDonald's Pandanaran,dita oktaviany,5.0,"Just a regular mcdonals.But don't you worry about the parking... except if you ride a motorcycle. If you have an issue about the parking... Just drive in, they also provide drive true"
McDonald's Pandanaran,Andi Orsi,5.0,"Be safe, clean your hands before eat"
McDonald's Pandanaran,Ilham Akbar,5.0,Good place to hang out and eat.
McDonald's Pandanaran,Dani Pratomo,3.0,"Didnt offer touch screen order unlike pamularsih store, use sauce dispenser instead of sachet, nice wifi btw"
McDonald's Pandanaran,Steffani Sylvia Tan,4.0,"Great employees, not much parking lot available. Great for families, little kids, and everyone else. Great wifi. Spacious playground ( a big yes for parents with little kids). Amazing place to work, study, hang out, etc. Spacious place, so lots of tables. Fast service. Take away and drive through available. 24 hours. Every menu always available. 10/10 love coming here."
McDonald's Pandanaran,Wahyu Priyansah,4.0,"Nice place, but shoud be increase parking area.."
McDonald's Pandanaran,Reno Herdhiansyah,5.0,"New menu, run covid-19 health protocol"
McDonald's Pandanaran,Arief Budiman,5.0,"The chicken is tasty. Crispy outside, moist inside. Sadly, the size of the rice is so small"
McDonald's Pandanaran,Ernest Hocking,3.0,Heavy rain and lots of drive they thru but few sit down customers. Satisfied a hunger and thirst before the long drive home in the car.
McDonald's Pandanaran,Isa,3.0,"24 hour place to get quick bite at any time, foods and drinka taste like McDonald's you know."
McDonald's Pandanaran,Wenni Gan,5.0,"good place, but need to upgrade the toilet's hygiene"
McDonald's Pandanaran,hendy yuwono,5.0,Quality as good as usual. But service is quite slow. Its took 30 minutes to prepare a take away.
McDonald's Pandanaran,ayuayuayu ayuayu,5.0,"No dine in due to govt's order to contain covid cases in Semarang, delivery/drive through only.Make sure you have McDonald's sticker pasted on your car to enjoy teh kotak or other freebies when you spend over IDR 70.000"
McDonald's Pandanaran,kakikukena kamu,5.0,"Using McDonald's app so you get more advantages. For example, this pancake package. I only redem it for 15k. There are more offers on app. So what are you waiting for. Install app n redem, redem, redem"
McDonald's Pandanaran,dihar syagusdihar,5.0,"The usual, fries with mcflurry was a hit for, forever"
McDonald's Pandanaran,Kimihiro Watanuki,5.0,such a lovely place for hanging out with some lovely Friends..thanks..☺️☺️
McDonald's Pandanaran,berlian siwi,4.0,Mcflurry oreo always the best
McDonald's Pandanaran,Calvin Perdana,5.0,"Quite busy especially on weekends or holiday (plus after office). Just calm, when in peak hours okay ;)"
McDonald's Pandanaran,Liem Eng Liong,3.0,Looks good. I just bough via drive thru. The advantage is their working time 24 hours so traveller like me have a good place in rain at mid night in Semarang. Everything looks like run by default like other Mc D.
McDonald's Pandanaran,safira,5.0,the workers are so nice!! down to the parking helper and security guard. they checked your temperature before coming in and also gave you a decent squeeze of hand sanitizer 😁
McDonald's Pandanaran,Rani Elisabethnababan,5.0,so far they served the best spicy chicken compare to other mcd in semarang
McDonald's Pandanaran,Klara Maria (Kawa),5.0,"The employees are friendly, they serve us patiently. There are special menus for every seasons (i think), they have room for birthday party, and birthday package. Nice place to hang out and so lively there 😆 5 stars from me."
McDonald's Pandanaran,Nisa Aulia,5.0,Mcd my favorite fast food restaurants. Their Mc Spicy is the best. After covid they aren’t 24h restaurants anymore.
McDonald's Pandanaran,Hadasyah Lydia,5.0,"Social distancing benar2 dilaksanakan.. opposite chair is tied to the table's leg, so it can't be used .. Not too crowded during daytime"
McDonald's Pandanaran,Andhika Prihastanto,5.0,The food is quite good an the service is also good
McDonald's Pandanaran,kelvin ariza,5.0,"fast service,clean & good food"
McDonald's Pandanaran,Ainur Rifqi (angki),5.0,Colorfull place make my child lovely here. Unfortunately playground was closed during pandemic Covid.
McDonald's Pandanaran,William Ong III,1.0,"Used to be the best McDonald's outlet in town, but recently the waiting time can be as long as 30 mins both in the drive thru and restaurant. Plenty of Gojek waiting for orders should have given the management clues how long wait time is. We used to love this outlet. Clean and good service. I dont know what happened here, different manager maybe?"
McDonald's Pandanaran,Steven Lee,2.0,"3 separate occasions, I bought fries for my son, and they gave me limp old fries, salty coz it's been out long, in other words 'not fresh'. Please maintain quality, as I have to buy a fresh one from Burger King for my son"
McDonald's Pandanaran,Allegro Music Course Semarang,5.0,Good meal
McDonald's Pandanaran,Arman Y,5.0,Drive thru paling deket
McDonald's Pandanaran,Anindya Drysca,4.0,"Nice place, nice service as usual McD is. It has a playground for children. The parking lot is narrow. Everytime I go there on peak hours, I always having a bad time with the toilet smell. But that's the customer fault so nevermind."
McDonald's Pandanaran,Meisaroh Sukardi,5.0,There are 2 story building. And you can find pa small playland for infant. So you can enjoy with your babies here. Really only a single small playland. But its nice for you to hang out with your children here
McDonald's Pandanaran,Helen Pospita (Mamak Hits),5.0,Perfect as usual I ordered chicken porridge and hot coffee for my breakfast. Thats made my tummy full enough until lunch time 🤭 Oops.. Forgot to took a picturr 😁
McDonald's Pandanaran,Jagath Perera,4.0,Access to place not easy. They have parking space. Nice place in pandemic they follow rule and still i see many people's come to buy...
McDonald's Pandanaran,meilani sinaga,5.0,the best spicy chicken so far compare to other mcd in semarang
McDonald's Pandanaran,Satrio Vega,5.0,.................................................. .................................................. .................................................. .................................................. Good
McDonald's Pandanaran,amelia safitri,4.0,As usual McDonald's provides breakfast menu though this place also serves fried chicken for breakfast while some others don't. The waiters are somewhat lack of hospitality unsure why because it's still morning. Hopefully they improve the hospitality.
McDonald's Pandanaran,Petra “Petra” Ang,5.0,Favourite place for hangout and breakfast.They followed health protocols quite well.Favourite breakfast menu = Big Breakfast
McDonald's Pandanaran,Rima Wahyuningsih,4.0,The mc chicken is not tasty. The chilli sauce also not spicy. But the service is good. All the workers here are polite person. However take a note the parking is not free. But the teriyaki chicken rice is very delicious which is i can't get in mc donald malaysia.
McDonald's Pandanaran,Bungah Hardini,5.0,It's as good to hang out. The food and drink an affordable price. This is particularly inspiring to all of us.
McDonald's Pandanaran,Kevin Alvianto,3.0,"Good place to send all of time, good wifi, good sanitary and playground"
McDonald's Pandanaran,Monic Andyani,4.0,"Like another McDonald's franchise - its a good place to eat with a nice seating and fast wi-fi connection. Serves a nice view towards the city, the children playground is upstairs so it wouldn't be too much noise (you know what I mean)."
McDonald's Pandanaran,Roy Sebastianus,4.0,"Good location for hangout or just spend idle night time. But parking area is limited, so sometimes need to walk a little bit to access the place."
McDonald's Pandanaran,Muhammad Muhidin,5.0,Securitynya de best👌
McDonald's Pandanaran,fünny.,4.0,🤤
McDonald's Pandanaran,peepaholic world,3.0,just like another fast food chain restaurants. unfortunately Banana Top that we want wasn't available at that time so we have to try another banana flavor of ice cream. it turns out the 🍌flavor was defeated by the sugar. it was too sweet for my tooth and my throat.
McDonald's Pandanaran,verdi anjrzq,5.0,"The security very polite and strict with health protocol, the coffee quite bad though"
McDonald's Pandanaran,Andika Herwijanarko,4.0,It's Mc Donald... And meet that standard
McDonald's Pandanaran,sekar laksita wangi,3.0,"Its similar with the other outlets but this outlet was near crossroad that oftenly got a trafficjam so its look like crowded, in the otherhand the seating outdoor was smaller than the other stand-alone-outlets that i've ever come."
McDonald's Pandanaran,Nediana S Ardinugroho,5.0,best outlet of McDonalds in town! they open 24/7. I love the good vibes of this outlet because it's located exactly in the downtown. they have all the menus!
McDonald's Pandanaran,Evan Dewangga,4.0,Fast service if you haven't got any parking lot here.
McDonald's Pandanaran,Ishwara Danurdara.,5.0,"Spacious, superb service, clean, and hot food. That's the most important! Always order Meal #8 McSpicy Chicken Burger, Super Sized, with Coke! 24hours available, nice!"
McDonald's Pandanaran,krist bowo,5.0,We all know what resto is this...24 hour...
McDonald's Pandanaran,Fritta Fauzie,5.0,Good as always. Pelayanan ramah2 bgt.
McDonald's Pandanaran,Christopher Anthony,5.0,24 hours of the world's favorite. Located at the heart of Semarang city center. I'm lovin' it!
McDonald's Pandanaran,Cyn0514,4.0,"I love this place, near everywhere, so it's a nice place for gathering. Standard McD menu and service.Parking lot is limited, so in peak time might be full. There is a drive through too."
McDonald's Pandanaran,Sutanto,3.0,crowded but reasonably clean. One of the few fast food outlet that open 24 hrs
McDonald's Pandanaran,haruharu sugar,5.0,I like the 2nd floor and near window
McDonald's Pandanaran,Vinh Reikanz,5.0,"Nice Place for Eat, Not Far From LK Pandanaran."
McDonald's Pandanaran,Jesslyn Tjandra Kristanto,4.0,"if you go for drive thru, its great. great n fast service. the dine in place is rather kinda smelly. but overall experience great"
McDonald's Pandanaran,IdA IdA,4.0,A nice McDo outlet. Very busy at weekend and holiday season.
McDonald's Pandanaran,Cipto Purnomo,4.0,Always a good place to go
McDonald's Pandanaran,ziyan syaputra,5.0,Good food
McDonald's Pandanaran,Alief Danis,5.0,Good place for get some good food. They have good service. But i think the parking lot is not enough for all of their customers
McDonald's Pandanaran,Grapho Gaming,1.0,The parking area for motorcycle is incapacious. There's another little area that was safe for parking but the security prompted us to park outside Mcd. Ridiculous!
McDonald's Pandanaran,Crisopras “YΛVL” Kainama,5.0,"Less than one year has passed since I first stood at this podium, in this majestic chamber, to speak on behalf of the American people and to address their concerns, their hopes, and their dreams. That night, our new administration had already taken very swift action. A new tide of optimism was already sweeping across our land. Each day since, we have gone forward with a clear vision and a righteous mission, to make America great again for all Americans. Over the last year, we have made incredible progress and achieved extraordinary success. We have faced challenges we expected and others we could have never imagined. We have shared in the heights of victory and the pains of hardship. We have endured floods and fires and storms. But through it all, we have seen the beauty of America’s soul and the steel in America’s spine. Each test forged new American heroes to remind us who we are and show us what we can be. We saw the volunteers of the Cajun Navy racing to the rescue with their fishing boats to save people in the aftermath of a totally devastating hurricane. We saw strangers shielding strangers from a hail of gunfire on the Las Vegas strip. We heard tales of Americans, like Coast Guard Petty Officer Ashlee Leppert, who is here tonight in the gallery, with Melania. Ashlee was aboard one of the first helicopters in the scene used for Hurricane Harvey. 18 hours of wind and rain, Ashlee braved power lines — downed power lines and deep water to save 40 lives. Ashlee, we all thank you. Thank you very much. We heard about Americans like firefighter David Dahlberg. He is here with us also. David faced down walls of flame to rescue almost 60 children trapped in a California summer camp, threatened by those devastating wildfires. To everyone still recovering in Texas, Florida, Louisiana, Puerto Rico, and the Virgin Islands, everywhere, we are with you, we love you, and we always will pull through together, always. Thank you to David and the brave people of California. Thank you very much, David. Great job. Some trials over the past year touched this chamber very personally. With us tonight is one of the toughest people ever to serve in this house, a guy who took a bullet, almost died, and was back to work three and a half months later. The legend from Louisiana, Congressman Steve Scalise. I think they like you, Steve. We are incredibly grateful for the heroic efforts of the capitol police officers, the Alexandria police, and the doctors, nurses, and paramedics who saved his life and the lives of many others and some in this room — of many others, some in this room. In the aftermath of that terrible shooting we came together, not as Republicans or Democrats, but as representatives of the people. But it is not enough to come together only in times of tragedy. Tonight, I call on all of us to set aside our differences, to seek out common ground, and to summon the unity we need to deliver for the people. This is really the key. These are the people we are elected to serve."
McDonald's Pandanaran,Novilatifa Official,5.0,MCD this place is good place to eat with friend and family.This restaurant is very clean and comfortable with areas that can strategically invite many customers. This restaurant is very famous in Semarang
McDonald's Pandanaran,Dwi Septianingsih,5.0,"A cozy place to do anything when I wanna go out, but dunno where I have to go. I used to buy a cup of hot coffee and I love it so much. The taste was good."
McDonald's Pandanaran,Shavira Parasayu,5.0,social distancing nya good
McDonald's Pandanaran,Muhammad Murtadho,4.0,"It was a nice place, but when i get ther to have dinner n do some study task the wifi isn't connected and the waitress dont know the wifi password."
McDonald's Pandanaran,Anto 18,3.0,"Food from menu pictures totally different with them deserved, literally smaller, waiting place for food we order not available we must standing or looking available chair, toilet not clean, parking area limited for car"
McDonald's Pandanaran,Arif P Laksono,5.0,"Nice place,nice fast food resto"
McDonald's Pandanaran,Oscar Marino,4.0,"Loving it. Always come here drivethru, so far never dine in."
McDonald's Pandanaran,James Adhitthana,5.0,A very strategic McDonalds and one of the best chicken I have ever had in any mcDonald's retail stores. The food they provide is very fresh and tasty compared to the other mcdonald's I have ever tried!
McDonald's Pandanaran,rc rc,5.0,"A good place if you look for food, coffee, snack and ice cream with low budget.BOleh juga kalau smbl nugas gt. Ad wi fi nya."
McDonald's Pandanaran,Agra Panambunan,5.0,"Its basically mcdonalds with decent parking space, but located just beside the town square so that you don't deal with traffic too much"
McDonald's,/hA:,4.0,"Quite satisfied with the friendly service and the food being delivered to the table, especially if you are already a member of McD, there are many promos so you can save money more. Located in entrance mall so if you its first time here u cant get confused and hard to notice this restaurant"
McDonald's,Lee Explore Eat Enjoy,5.0,absolutely my favorite fast food.. and you can fullfill your empty stomach with the best value of Hamburger and Fried Chicken.. I love the property Burger and Fries... nothing can be more Happy than have a Good Fast Good at McDonald's
McDonald's,Agnes Sugiarto,5.0,"McD is one of my favorite fast food restaurant, today I decided to have my fill in McD by ordering Double Choco Pie (crispy chocolate pie crust filled with gooey chocolate cream filling, sadly this menu is a seasonal menu 😢), PaNas 2 Large (rice, 2 pieces of McD Krispy Chicken and Lemon Tea, this is basically my go to menu every time i'm visiting McD 😬) and last but not least i'm finishing my meal with McFlurry for dessert, I usually goes for their McFlurry Choco (Milo) rather than McFlurry Oreo (but I love them equally 😋). For McD Indonesia, i'm obviously gonna rate them 5 out of 5. For more info about food, kindly visit asmunchkin on IG."
McDonald's,tiara maulia,5.0,"suitable for you lovers of spicy food ... because this chicken is very tasty and spicy, it's pretty affordable prices, don't forget to try it, friend"
McDonald's,Bungah Hardini,5.0,"It was good and quality, service friendly, affordable, the place is unique."
McDonald's,Erika Verdiana,5.0,McDonald's is one of favorite restaurant in the world in there we can order many yummy food. we can found it in mall
McDonald's,Hanik Malikhatin Nikmah,5.0,"McDonald's Citraland Semarang is one of the stores in the Ciputra Simpang Lima Semarang mall. indeed the price is a little expensive there and also taxed, but the place is nice to meet with friends."
McDonald's,TheWalkingDoctor,4.0,"Best thing in this McDonald's restaurant is, they opened 24 hours. So no need to worried if you suddenly craving for late night supper. The location is very easy to access, since it's located at Simpang Lima. The place is clean and quite comfortable. They also have a cable television. Restrooms are also clean."
McDonald's,Anindya Drysca,4.0,"Your usual McD. What do you expect? Nice place, nice service, placed inside the mall but has their own toilet. They use to had a legendary train seat, but after this current renovation, they put away that seat and changed it with normal seat. The place is spacious, but it has no power outlet available for customer."
McDonald's,rio paradika,4.0,24 hours McD located at the center of city
McDonald's,Alexander Siauta,5.0,"Hello, thank you for the service,. I always like your dish specially burger,. And I hope maybe McDonald’s can open in North Molucca soon,. It will be nice because if i miss and want to eat Your burger i should travelling so far away to get that hihihiihi"
McDonald's,Alifiano Bintang,5.0,Good services and delicious foods
McDonald's,Dita,4.0,"The most crowded McDonald's in town. Since it is located in the heart of the town, inside a busy mall, near some hotel, offices and schools, the place is never quiet. This McDonald's is actually not really big but it has the infamous train seating, with a small locomotive, too. The tables are inside the train like area along the alley of the mall. At the back of the train, there is this ice cream corner where you can only order soft served ice cream, sundae or McFlurry. At the corner of the area, there is a small indoor playground for kids. The restaurant only has 2 toilets and you have to queue mort of the times. It has no private room so if you plan to celebrate birthday or having other events, be mind that the other customers or passers-by will be watching."
McDonald's,lauvincia tedja,2.0,McDonalds should be a fastfood restaurant. But i need to take few hours for only buying their french fries. Hmmm
McDonald's,Ovand Ramadhan,5.0,"The place was amazing, they had good services there. There are so many choices of foods, they have french fries, fried chicken and even a burger."
McDonald's,Asrida Ulinuha,4.0,"the queue line is always long at any time. Not just a place to eat, also for hang out. They have an interesting ice cream booth"
McDonald's,Arijz Wirda,4.0,Minus iconic place/statue.
McDonald's,asprilla wahyu dona dony,5.0,"one of the first mcdonalds' outlet in Semarang, being here always reminds me of my childhood. Done with your burger and chicken? Order some desserts and try the mcdonald's train seat!"
McDonald's,Avissa Suseno,5.0,Having early dinner over here.
McDonald's,Roy Sebastianus,4.0,Standard McDonalds outlet. Easy access since it placed right away in mall entrance. But the placement made the queue a little bit ackward because criss crossing with mall traffic.
McDonald's,Melissa Vania Adelina (Meme),5.0,"my fav McD since I was a kid! Taste never changes<3 Yummy, but usually so crowded and hard to find seat."
McDonald's,Raden Arief Nugroho,3.0,Taste? The same to other McDs in Indonesia. Ambience? Idem dito. Professionalism? Idem dito. Price? Idem dito. Open 27/7? Yes.
McDonald's,Nina Farikhah,5.0,"The place is very crowded😅 The chicken is crispy, spicy and steady🍗 My favorite food in Mc Donald is apple banana pie😚😍 Really delicious😂"
McDonald's,Glenn Main-Main,5.0,"This McDonald's Store is quite unique, because there are chairs in the middle of the corridor of the Mall like a train with locomotives and ice cream's store at the edge. At the main area, the kitchen and chairs are separated by the east corridor of the mall."
McDonald's,Andy Wijaya,4.0,I like the new mc spicy smokey bbq chicken. Gochujang chicken though........ Disappointing. Its like eating bones with some chicken meat left
McDonald's,Inten Cokro,5.0,Comfortable and enjoyable placeThe place was good to meet up with your friends or your clientThere were many delicious meals
McDonald's,Febriane Trinanda,4.0,A place to tuck your tummy up when you're getting hungry while walking around the mall. Not a healthy choice but its ok for the weekends hehe..
McDonald's,Andrew Wihono,5.0,"Today breakfast menu was Sausage muffin with egg ala carte menu, for my boy and wife"
McDonald's,Zuriyah Zur8,5.0,mc donalds is a very crowded place. because in here is a large and also large shopping area here are many types of products that are traded
McDonald's,Andry Umbu,5.0,Da best in town
McDonald's,Jati Rachmad,5.0,This fast food is so crowded at lunch time that it takes your time a lot to get your lunch. Be more patient then
McDonald's,Gahar Nugroho,5.0,Ok
McDonald's,Gahar Nugroho,5.0,Ok
McDonald's,safira khoirunnisa,5.0,A suitable place to spend time with friends and gather with my family. The food there is varied and delicious.
McDonald's,Nicanor Wijaya,3.0,"i used to here quite often but now im grown up and rarely here..stiil pretty same for last 15yr, and bring nostalgic sometimes.."
McDonald's,Daniel Nw,5.0,Nice place to have fast bite
McDonald's,ria nurulita,4.0,"McD is always be my fav fast-food, and it's help me when i craving food after shopping"
McDonald's,Christopher Anthony,5.0,Another McDonald's at the heart of Semarang's city center and I'm lovin' it!
McDonald's,Diajeng Retno Indah Asmorowati,5.0,perfect ice cone mcd
McDonald's,Bela Hastya,5.0,"Good fast food restaurant. The place is crowded, and the food is delicious. This place is famous for teenagers"
McDonald's,Md Mizanur Rahman,4.0,food is okay but Online huge order thats always queue and have to wait foe food.
McDonald's,Annisa Sukmandari,5.0,After Mc Donald Has Been Renovation Is Perfect Good View Fell Peacefull 😋
McDonald's,gita anita,5.0,"Mc d menyediakan breakfast ,free refill minum tea"
McDonald's,Márcio Silva,1.0,Smaller size than what I ordered and they didn't bother to put a straw
McDonald's,Rendi A (r.afta),4.0,"The wifi here is very fast, good for doing homework or hangout with friends"
McDonald's,Ainur Rifqi (angki),5.0,The first and earlier resto opened in Citraland. My kid's favorite place to break fast because she can play.
McDonald's,Deden Wahyu MUSTARI,3.0,Crowd place but kept tidy... Suitable for meeting point or just release tired with fast food variation...
McDonald's,Wukir Cahya Utami,3.0,"Mc Donald's located in pandanaran, this is usually ussed as hangout for young people together with friend"
McDonald's,Denny Saputra,4.0,Big place but always crowded.. But always clean ans fast service
McDonald's,Inge Ong,3.0,Nice Mc Donald outlet but there are some flies flying around so it's very annoying.
McDonald's,Cadett Officer,4.0,Birthday place...
McDonald's,Fransisca Pranadhi,5.0,Luv this coffee boba
McDonald's,Evita Ismira,4.0,"The menu is just like other McD restaurant, but this place is almost always full"
McDonald's,vaneena van,5.0,Good
McDonald's,Tanando Tanzaq,5.0,"Loving their new design, provide more seats than before"
McDonald's,andhini pangestuti,4.0,week end rame banget... but all is good
McDonald's,yessy kurnia faradina,4.0,It's always full here. Sometimes it's dirty because people just won't do their self-services :(
McDonald's,Sahalas,3.0,Too crowded. Long queuing and slow service
McDonald's,Daniel Agung Ujianto,5.0,Recommended...Cozy to wait for the mall...Mi Familia favorita...
McDonald's,Dewi Resi W,5.0,It'sso gewd
McDonald's,Marsella Dewi,5.0,What can you expect from McDonald?
McDonald's,Shahmin,5.0,🐥🐥
McDonald's,Loys Sadawa,3.0,M km
McDonald's,Eng Unyil,5.0,So much happy whenever im there
McDonald's,Muhammad Surya Atmaja,5.0,Usual McD in mall. Has a separate counter to order ice cream.
McDonald's,Rayan Shah,4.0,Nice place but its hard to get parking specially at weekend
McDonald's,fadhil suryo nugroho,5.0,Very basic McDonald's restaurant. With Indonesian style McDonald's with rice and rendang burger
McDonald's,Taufik Rohman,4.0,So Crowded
McDonald's,Pieter Candra,5.0,"Good place to eat, especially in night time"
McDonald's,Ika Hapsari,4.0,I enjoyed my ice cream after a quite long queue
McDonald's,Aryo Ardanto,4.0,Good McD with a big place for eat
McDonald's,Arum Putri,5.0,Restauran fast food ther favorit
McDonald's,Richie Wiyata,2.0,Taste is not standard. Totally different with other mcs
McDonald's,rose shinta,3.0,Its too crowded of people eventhough the foods are delicious
McDonald's,Adisunu Atmadi,3.0,Now is underconstruction for renovation so not nice to eat here
McDonald's,antika nur,5.0,it was good
McDonald's,Umi Noviyanti,5.0,Love it
McDonald's,karisma candra,3.0,Nice place for get a fast food
McDonald's,Inoenk Succes,4.0,I'm lovin it
McDonald's,Doni Van Coolen,3.0,"Reguler Mc Donalds Resto, nothing different"
McDonald's,Nia,4.0,"I'm loving it.Fast food, yeay!"
McDonald's,Kakarizka Nugrahani,4.0,always full w people and almost difficult to find a table
McDonald's,farhana samad,5.0,I really love the icr cream. Great place
McDonald's,Gigih J. Susilo,3.0,"Need more charging port. Except that, no other issue"
McDonald's,roziq bahtiar,4.0,mc flurry
McDonald's,Rizal Rizki,5.0,Nice 👍
McDonald's,Gustina alfa,5.0,its okay for just killing time with a single ice cream cone
McDonald's,arief kas,5.0,Next to simpang lima semarang n open til midnight
McDonald's,Yulianto Nugroho (Antok),5.0,Crowded
McDonald's,ks karyasandy,4.0,"There are a lot of table, and window facing the outside view"
McDonald's,wiwik pujiati,5.0,Nice place and good food
McDonald's,Surya Samudera Giamsjah,4.0,free coffee refill and good free wifi... good!
McDonald's,Nikodemus Gunawan,5.0,"the Fillet O Fish, cheeseburger, and chicken nugget are the ones I have most often"
McDonald's,Septian Sugestyo Putro,4.0,Best (the only) hang out place in Cibitung
McDonald's,miki subowo,3.0,"Cramped, feel not well organized, not clean enough,"
McDonald's,Laura Boentaran,4.0,"7 pm open, but employees are not ready yet"
McDonald's,Sejahya Sales,5.0,"Clean, spacious and the kids love it"
McDonald's,Cahyo Adjie,2.0,sign says open 24 hours but its not
McDonald's,Erwin Hidayat,4.0,"Located at the entrance of the mall, train-modelled seat available."
McDonald's,Agus Wahyudi,5.0,Good place to eat with family...
McDonald's,Nathania Alicia Vashti (Athana Arisu),5.0,"Its good, just ur regular chicken, burger. Can dine in, take away. The ice cream is 10/10 always good, and many varieties."
